deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
0.054,0.044,0.065,0.255,0.207,0.319
0.057,0.047,0.069,0.24,0.192,0.302
0.064,0.051,0.077,0.216,0.173,0.274
0.073,0.059,0.09,0.188,0.149,0.24
0.088,0.07,0.108,0.156,0.123,0.201
0.106,0.085,0.13,0.13,0.103,0.166
0.117,0.092,0.145,0.117,0.092,0.153
0.141,0.111,0.175,0.097,0.077,0.127
0.168,0.131,0.211,0.082,0.063,0.107
0.203,0.159,0.254,0.068,0.053,0.089
0.191,0.143,0.245,0.072,0.055,0.098
0.204,0.153,0.261,0.068,0.052,0.092
0.213,0.161,0.273,0.064,0.049,0.087
0.188,0.14,0.243,0.073,0.055,0.101
0.163,0.119,0.213,0.084,0.063,0.118
0.115,0.081,0.156,0.12,0.086,0.172
0.086,0.059,0.12,0.16,0.112,0.237
0.066,0.044,0.094,0.208,0.144,0.314
0.058,0.039,0.083,0.237,0.163,0.358
0.062,0.043,0.086,0.222,0.158,0.327
0.059,0.041,0.08,0.234,0.168,0.344
0.051,0.035,0.071,0.271,0.191,0.401
0.047,0.032,0.066,0.29,0.204,0.429
0.041,0.027,0.058,0.337,0.233,0.509
0.041,0.028,0.058,0.335,0.233,0.501
0.035,0.023,0.05,0.397,0.27,0.612
0.021,0.012,0.034,0.646,0.398,1
0.02,0.011,0.033,0.683,0.416,1
0.016,0.008,0.028,0.864,0.491,1
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.484,0.002,0.998,0.029,0.013,1
0.49,0.001,0.998,0.028,0.013,1
0.507,0.002,0.999,0.027,0.013,1
0.5,0.002,0.998,0.028,0.013,1
0.511,0.001,0.998,0.027,0.013,1
0.486,0.001,0.997,0.028,0.013,1
0.419,0.001,0.995,0.033,0.013,1
0.335,0.001,0.983,0.041,0.014,1
0.256,0.001,0.953,0.054,0.014,1
0.182,0,0.883,0.076,0.015,1
0.129,0,0.772,0.107,0.018,1
0.082,0,0.619,0.168,0.022,1
0.054,0,0.451,0.253,0.03,1
0.034,0,0.325,0.4,0.042,1
0.114,0.011,0.383,0.121,0.035,1
0.133,0.027,0.351,0.104,0.039,0.507
0.132,0.037,0.298,0.104,0.045,0.375
0.094,0.026,0.219,0.146,0.062,0.528
0.092,0.031,0.197,0.15,0.069,0.443
0.104,0.043,0.196,0.133,0.069,0.319
0.08,0.033,0.153,0.172,0.089,0.411
0.053,0.02,0.108,0.26,0.126,0.687
0.067,0.032,0.119,0.206,0.114,0.44
0.075,0.04,0.126,0.184,0.108,0.348
0.073,0.041,0.117,0.189,0.116,0.341
0.06,0.034,0.098,0.228,0.139,0.403
0.051,0.029,0.083,0.269,0.165,0.483
0.064,0.04,0.097,0.214,0.14,0.343
0.079,0.053,0.111,0.173,0.121,0.264
0.07,0.047,0.098,0.197,0.137,0.298
0.082,0.057,0.112,0.168,0.121,0.243
0.08,0.057,0.109,0.171,0.124,0.245
0.082,0.06,0.11,0.167,0.122,0.235
0.1,0.075,0.127,0.138,0.106,0.186
0.1,0.077,0.126,0.138,0.106,0.183
0.112,0.089,0.139,0.123,0.096,0.157
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.508,0.002,0.998,0.027,0.013,1
0.491,0.002,0.998,0.028,0.013,1
0.506,0.001,0.998,0.027,0.013,1
0.497,0.001,0.999,0.028,0.013,1
0.487,0.002,0.998,0.028,0.013,1
0.424,0.001,0.995,0.032,0.013,1
0.294,0.001,0.972,0.047,0.014,1
0.171,0,0.874,0.081,0.016,1
0.097,0,0.674,0.141,0.02,1
0.065,0,0.512,0.211,0.027,1
0.042,0,0.396,0.325,0.035,1
0.03,0,0.276,0.456,0.05,1
0.021,0,0.203,0.657,0.067,1
0.015,0,0.152,0.94,0.089,1
0.011,0,0.118,1,0.117,1
0.008,0,0.089,1,0.154,1
0.006,0,0.063,1,0.214,1
0.004,0,0.049,1,0.278,1
0.003,0,0.037,1,0.371,1
0.002,0,0.027,1,0.507,1
0.009,0.001,0.037,1,0.365,1
0.007,0.001,0.029,1,0.48,1
0.015,0.004,0.038,0.912,0.358,1
0.023,0.01,0.047,0.585,0.293,1
0.028,0.014,0.05,0.491,0.274,0.995
0.023,0.011,0.04,0.604,0.341,1
0.023,0.012,0.038,0.605,0.357,1
0.026,0.015,0.04,0.536,0.337,0.925
0.034,0.022,0.049,0.404,0.275,0.626
0.037,0.025,0.052,0.372,0.26,0.557
0.039,0.027,0.053,0.354,0.252,0.506
0.037,0.027,0.051,0.369,0.268,0.523
0.042,0.031,0.055,0.327,0.244,0.449
0.041,0.031,0.053,0.335,0.251,0.453
0.039,0.03,0.051,0.351,0.265,0.471
0.038,0.029,0.048,0.365,0.279,0.49
0.037,0.028,0.047,0.374,0.287,0.501
0.036,0.028,0.046,0.381,0.294,0.501
0.039,0.03,0.049,0.353,0.274,0.461
0.037,0.029,0.046,0.374,0.292,0.491
0.038,0.03,0.048,0.359,0.28,0.466
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.496,0.002,0.999,0.028,0.013,1
0.509,0.002,0.999,0.027,0.013,1
0.507,0.002,0.998,0.027,0.013,1
0.509,0.002,0.998,0.027,0.013,1
0.509,0.002,0.998,0.027,0.013,1
0.466,0.001,0.998,0.029,0.013,1
0.413,0.001,0.995,0.033,0.013,1
0.317,0.001,0.982,0.043,0.014,1
0.232,0.001,0.935,0.059,0.015,1
0.16,0,0.851,0.086,0.016,1
0.113,0,0.734,0.122,0.019,1
0.084,0,0.621,0.164,0.022,1
0.059,0,0.487,0.232,0.028,1
0.043,0,0.387,0.323,0.035,1
0.031,0,0.296,0.447,0.046,1
0.023,0,0.216,0.61,0.063,1
0.015,0,0.164,0.891,0.083,1
0.057,0.005,0.212,0.242,0.064,1
0.034,0.003,0.125,0.405,0.109,1
0.064,0.021,0.141,0.216,0.097,0.663
0.033,0.011,0.074,0.414,0.184,1
0.028,0.011,0.056,0.49,0.244,1
0.027,0.013,0.048,0.509,0.283,1
0.028,0.016,0.046,0.488,0.296,0.88
0.021,0.011,0.034,0.658,0.396,1
0.034,0.022,0.05,0.4,0.272,0.626
0.038,0.026,0.054,0.358,0.249,0.529
0.04,0.028,0.056,0.34,0.241,0.505
0.048,0.035,0.065,0.285,0.206,0.404
0.064,0.047,0.084,0.215,0.159,0.297
0.084,0.064,0.108,0.163,0.124,0.218
0.105,0.081,0.132,0.132,0.101,0.173
0.099,0.076,0.126,0.139,0.106,0.184
0.11,0.085,0.139,0.125,0.096,0.165
0.131,0.105,0.161,0.105,0.083,0.134
0.146,0.119,0.178,0.094,0.075,0.119
0.144,0.117,0.174,0.095,0.077,0.12
0.146,0.12,0.173,0.094,0.077,0.118
0.147,0.122,0.173,0.094,0.077,0.116
0.135,0.113,0.159,0.102,0.083,0.126
0.124,0.104,0.146,0.111,0.091,0.137
0.112,0.094,0.132,0.123,0.101,0.151
0.1,0.083,0.119,0.137,0.112,0.169
0.085,0.071,0.101,0.161,0.131,0.199
0.07,0.058,0.085,0.195,0.157,0.245
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.499,0.002,0.998,0.028,0.013,1
0.497,0.002,0.999,0.028,0.013,1
0.497,0.002,0.998,0.028,0.013,1
0.508,0.002,0.998,0.027,0.013,1
0.492,0.001,0.998,0.028,0.013,1
0.485,0.002,0.997,0.028,0.013,1
0.418,0.001,0.995,0.033,0.013,1
0.346,0.001,0.985,0.04,0.014,1
0.27,0.001,0.961,0.051,0.014,1
0.223,0.001,0.927,0.062,0.015,1
0.189,0.001,0.89,0.073,0.015,1
0.169,0,0.853,0.081,0.016,1
0.144,0,0.826,0.095,0.017,1
0.132,0,0.767,0.105,0.018,1
0.112,0,0.728,0.123,0.019,1
0.092,0,0.672,0.15,0.021,1
0.075,0,0.588,0.182,0.023,1
0.065,0,0.505,0.211,0.027,1
0.506,0.129,0.884,0.027,0.015,0.107
0.61,0.221,0.912,0.023,0.015,0.063
0.51,0.169,0.839,0.027,0.016,0.081
0.443,0.141,0.781,0.031,0.017,0.098
0.791,0.461,0.967,0.017,0.014,0.03
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
0.787,0.656,0.886,0.018,0.015,0.022
0.485,0.379,0.593,0.028,0.023,0.037
0.354,0.275,0.441,0.039,0.03,0.051
0.257,0.197,0.324,0.053,0.041,0.071
0.204,0.157,0.256,0.067,0.052,0.089
0.153,0.116,0.195,0.09,0.069,0.121
0.127,0.097,0.163,0.108,0.082,0.145
0.094,0.07,0.124,0.146,0.108,0.2
0.084,0.063,0.11,0.164,0.121,0.224
0.08,0.06,0.104,0.172,0.129,0.232
0.078,0.06,0.101,0.175,0.132,0.234
0.081,0.063,0.103,0.169,0.13,0.225
0.075,0.058,0.095,0.183,0.141,0.242
0.071,0.055,0.09,0.194,0.149,0.256
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.497,0.002,0.999,0.028,0.013,1
0.509,0.001,0.998,0.027,0.013,1
0.496,0.002,0.998,0.028,0.013,1
0.506,0.002,0.998,0.027,0.013,1
0.489,0.002,0.998,0.028,0.013,1
0.452,0.001,0.997,0.031,0.013,1
0.348,0.001,0.983,0.039,0.014,1
0.196,0.001,0.916,0.07,0.015,1
0.105,0,0.701,0.131,0.019,1
0.063,0,0.518,0.215,0.026,1
0.043,0,0.39,0.321,0.035,1
0.035,0,0.305,0.393,0.045,1
0.138,0.014,0.444,0.1,0.031,1
0.223,0.046,0.519,0.062,0.026,0.301
0.203,0.043,0.487,0.068,0.028,0.319
0.197,0.041,0.48,0.07,0.028,0.334
0.206,0.043,0.494,0.067,0.027,0.32
0.318,0.096,0.618,0.043,0.022,0.144
0.344,0.107,0.65,0.04,0.021,0.128
0.699,0.377,0.922,0.02,0.014,0.036
0.562,0.261,0.834,0.024,0.016,0.054
1,1,1,0.014,0.012,0.015
0.973,0.829,1,0.014,0.013,0.017
0.916,0.779,0.983,0.015,0.013,0.018
0.56,0.42,0.694,0.025,0.019,0.033
0.4,0.296,0.51,0.034,0.026,0.047
0.27,0.198,0.351,0.051,0.038,0.071
0.207,0.155,0.266,0.066,0.051,0.09
0.148,0.11,0.19,0.093,0.071,0.127
0.104,0.078,0.136,0.132,0.099,0.18
0.092,0.07,0.118,0.149,0.114,0.2
0.129,0.106,0.156,0.106,0.085,0.134
0.103,0.084,0.125,0.133,0.107,0.168
0.11,0.091,0.131,0.125,0.102,0.155
0.119,0.1,0.14,0.115,0.095,0.141
0.11,0.093,0.13,0.125,0.102,0.152
0.113,0.096,0.132,0.122,0.1,0.148
0.122,0.104,0.141,0.113,0.094,0.137
0.103,0.086,0.12,0.134,0.11,0.165
0.121,0.104,0.14,0.113,0.095,0.137
0.112,0.096,0.13,0.123,0.102,0.148
0.097,0.083,0.113,0.141,0.117,0.172
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.495,0.001,0.999,0.028,0.013,1
0.495,0.002,0.998,0.028,0.013,1
0.501,0.001,0.998,0.027,0.013,1
0.507,0.002,0.998,0.027,0.013,1
0.495,0.002,0.998,0.028,0.013,1
0.472,0.001,0.998,0.029,0.013,1
0.429,0.001,0.995,0.032,0.013,1
0.351,0.001,0.983,0.039,0.014,1
0.269,0.001,0.963,0.051,0.014,1
0.214,0.001,0.927,0.064,0.015,1
0.201,0,0.903,0.068,0.015,1
0.178,0,0.888,0.077,0.016,1
0.168,0,0.863,0.082,0.016,1
0.179,0,0.875,0.076,0.016,1
0.196,0,0.913,0.07,0.015,1
0.23,0.001,0.934,0.06,0.015,1
0.285,0.001,0.974,0.048,0.014,1
0.344,0.001,0.986,0.04,0.014,1
0.399,0.001,0.994,0.034,0.013,1
0.452,0.001,0.997,0.03,0.013,1
0.479,0.001,0.998,0.029,0.013,1
0.467,0.002,0.997,0.029,0.013,1
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
0.78,0.234,0.993,0.018,0.013,0.059
0.401,0.091,0.777,0.034,0.017,0.15
0.113,0.01,0.38,0.121,0.036,1
0.066,0.006,0.233,0.209,0.059,1
0.114,0.031,0.265,0.12,0.051,0.44
0.139,0.053,0.268,0.099,0.051,0.262
0.087,0.029,0.188,0.158,0.073,0.473
0.093,0.035,0.187,0.148,0.073,0.389
0.098,0.041,0.187,0.14,0.072,0.337
0.12,0.058,0.211,0.115,0.064,0.241
0.172,0.096,0.269,0.08,0.05,0.144
0.202,0.124,0.302,0.068,0.045,0.111
0.185,0.111,0.279,0.075,0.048,0.125
0.163,0.099,0.246,0.084,0.055,0.141
0.159,0.098,0.235,0.087,0.058,0.141
0.177,0.116,0.251,0.078,0.054,0.12
0.183,0.126,0.252,0.075,0.053,0.111
0.164,0.112,0.226,0.084,0.06,0.125
0.127,0.083,0.183,0.108,0.074,0.167
0.134,0.09,0.188,0.103,0.072,0.155
0.155,0.11,0.209,0.089,0.064,0.128
0.131,0.09,0.18,0.105,0.075,0.155
0.16,0.116,0.211,0.086,0.064,0.121
0.147,0.106,0.196,0.093,0.069,0.131
0.153,0.112,0.202,0.09,0.067,0.124
0.17,0.128,0.22,0.081,0.061,0.109
0.212,0.167,0.265,0.065,0.05,0.084
0.238,0.192,0.292,0.058,0.046,0.073
0.289,0.24,0.343,0.048,0.039,0.059
0.263,0.215,0.313,0.052,0.042,0.066
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
